# Generated by tools/wikidata-sweep.js — ids only, screened on Wikidata claims.
# A person gets a card, an institution does not: the sweep requires P31 to be a
# performer type (human, band, duo, comedy troupe, YouTube channel), so
# businesses, universities, nonprofits, labels and TV series never reach here.
# 4493 channels, swept 2026-08-03.
#
# Next:  node tools/add-candidates.js catalog/reach-7.txt

UCzuqhhs6NWbgTzMuM09WKDQ  # Acrania
UC9y-AhBeCseipJkDFC0Ju_Q  # Hannah Grace
UCeX_TcXPPpofyfBVaVOTLwA  # Rammelhof
UCA3iue67-DOf7np0z598-CA  # Thus Defiled
UCyBTKXBFJOiq6CDP5fj4HNA  # Technohead
UCcKgHd_y0iUmzZEbSh2_5AA  # Q19575846
UChFlqSEFesubRP5-0Ez21NA  # Q19663135
UC9qhrKAVIav5q8tUrFXWOlw  # Doug Armstrong
UCMvMH_LDIiJ44LLDzl09egQ  # eSNa
UChHRfn2BirjjpT1UnC8iNxg  # Eroia Barone-Nugent
UCbe8lk2wgPPtu-vsN6uW8pQ  # Saima Chowdhury
UCGDrnyj47HR4W1FAwEHVw9w  # Domonique Bertolucci
UC0m8Ij7iPerudEg26KJtYFw  # Hit the B Button!
UC6KXD7CKcvf7KNntq0E-33A  # MRG
UCICUDxluErkmO5a9Egs86gg  # Caitlin McElroy
UCJXjbyTCwB7RXLYU31bab8Q  # Kameron Couch
UCX-wpJsvctu9jj8k1eC30KQ  # Cody Renee Cameron
UCblNXnmHLUXb3xHzm44Qjfw  # Shemsu James-Lefevre
UCISOYbfB2jyR5U904sQXgUA  # RKCB
UCt-e2TGNMHcSWvsp_4DADgA  # Austin White
UCbu2qTa75eyjwCKOugX8F6A  # Jack Massey Welsh
UCd15dSPPT-EhTXekA7_UNAQ  # Jack Massey Welsh
UCewMTclBJZPaNEfbf-qYMGA  # Jack Massey Welsh
UCF9R3Ln-u52vUdSO-pFdETw  # Jack Massey Welsh
UChLNLQ6r-aGrIFWo_1A9tKQ  # Jack Massey Welsh
UCpCJRHoggwXQhuFbW4gjM_w  # Jack Massey Welsh
UCqx-my2rOoQuEOHKNNgNppw  # Jack Massey Welsh
UCrZKnWgOaYTTc7sc1KsVXZw  # Jack Massey Welsh
UCUXNOmIdsoyd5fh5TZHHO5Q  # Jack Massey Welsh
UCxLIJccyaRQDeyu6RzUsPuw  # Jack Massey Welsh
UCyktGLVQchOpvKgL7GShDWA  # Jack Massey Welsh
UCgDvko7FcHndaS-QoLJw_PA  # Yvonnie
UCqz0VSnM6uQ6pNaEzWiFhVw  # Yvonnie
UCzGy9W6EcysdlUywr7lgqNA  # Yvonnie
UCZVwb4aChh4Q4OGpn3IogCw  # Wolftyla
UC6PPeN44-IQTRXHrCuvQ5RQ  # Bénita Jacques
UCH_wUsd48afA9bOexH1rTWA  # Guy Saperstein
UC460M0_6FiyrXYlxUSlY_3g  # Dinarte de Freitas
UCUeujzO_Rd1wwVzr07udNsQ  # Q100375930
UCOmXyEquWIIo1uAj_2LN4UA  # Q100376684
UCDbTAyPFLo07l8V08DAB09A  # Q100436862
UCmHagGfP5bzYZA_Z-EgPEpw  # Q100504521
UC93E_HyTKbPLb1jSWIN31qg  # Inn Echo
UCnmbcAb-Ru2gYDLBGXB6d_A  # Emma Glover
UCMGE9HqzPuU5M6SKz24-3Qg  # Joe Tafur
UCBsP43cWFwC0lNtOY6UzQmw  # Pascal Normand
UCNe-_iR3NxNPhGjbpvLD9vA  # Gold Key
UCW6bXQJhXeZdjyher1Fut5Q  # Donel Cathcart
UCdvZ_j8Ez80i-ct7OiyAaGw  # Jakigh Dottin
UC1uug_uZrVmylfPVBLBvitQ  # CarBotAnimations
UCEnUuVOAlkPb2l7_EczzTUg  # Denise Kim
UCsqxccTbeLOu6Z_Z-I8O_NA  # Marquis Marshall
UChpHi2MuY1LM9Lue19A6sGA  # Brielle Ansems
UCZAhNKRBzaZcg-g_3sMlYqg  # Little Cities
UCnhUQO9n_HdIxZJIXl6KhHw  # Daniel Mudie Cunningham
UCe0hsMI0J0n-HRyooIrooXQ  # Raheem Singleton
UCVxx4lQgdtsR6mF7sawfScg  # Pierre Sow
UCRVtlcqayOmyuLIDrT3ng1w  # Jay Wey
UCTWv3oYrqh_DNAtr8Hm_zGw  # Q100706098
UClf1bwJQslfHDsAjopdTaNQ  # David Blanks
UCSNvlZiXWX7QrI-xaCXF5BQ  # Ja'Michael Brown
UCnx-Ch55sZPs5teD57RQmZA  # Trevis Wyche
UCZoBUif9DwHS9YLE722LGtA  # Hyrule Gamer
UCySNplgBz4pCcufT6FFlqyQ  # Yves Lambert
UCbBG2P_zUblgpxF65YmuSZw  # The Dustbowl Revival
UCXUGjbu7UtOg-ba4UJJfqhw  # Chris Kubby
UCdEczn3MVkx_4PnMZ10MVFA  # Tyler Hoover
UCI1xt0wkMB2byVEgQoxucGA  # Catjira
UCjRS0fQltHKvg8nINgimsRg  # Dana Hamm
UCNCcicJJYphyKlThcjFWLVg  # Samantha Leah
UCVk61yaQbc023O6UB3OFEng  # Stefan Andre Waligur
UC1RJIIr7l6t2WA7RrLUNzZA  # The Rheingans Sisters
UCgpSieplNxXxLXYAzJLLpng  # Michael Nacke
UCL1UKCoCXyij-xQDXLod0Og  # Julia Jolie
UCmHS0DMrSH_tiByhwKL7vzQ  # Michael Pez
UC7fNJxOvQldPU3nGuKNDwJQ  # Q102057229
UCTVQLOtHOQEc22ViYCix1Rg  # Matthew Baker
UC1Xcb3vJm3zHuaUeBIn7NDw  # STAR6IXSE7EN
UCuplhTwhp4F2Iw3KoxmUHPQ  # Tara Gerard
UCgEqoA4rEpwIsnKO6YfgQGw  # Élisabeth Rioux
UC_R4mXJYrmwy3g-qOy4nONg  # Alexis Marcoux Rouleau
UCxSwS4_LFaPLrp2PB1cOdnA  # Sweez
UCHOEeU-1m6kDCRGlZqO3HxQ  # Eamonn J. Kerins
UCLYx6Op-u1dUQs0Bw1C3eBg  # Xavi The Destroyer
UC_vjT9bDtoiEJb2GNQ-E8oA  # Natalie Roush
UCrXiKVXkvuE_2a6IExbxf3A  # Q102129297
UCvycQq5EA5NdF5gv0xcjqwQ  # Q102132158
UCY-pudcer8_G3MIK4IPbvSw  # Nicolas Boulerice
UCdJEV0HtAyTPOLygJSoTJmA  # Nicolas Boulerice
UCQy3tgsuSJ_F5Y3rXP7hwmA  # Mathieu Bourret
UCHBI6acwktcnhH_EzeGyKBw  # Ellbat
UC73UFEVorP5CE6VdCcRuAtg  # Annika Rose
UCzH-NYNApbUNBk3K5oepxug  # Kaye Lynne Booth
