# Generated by tools/wikidata-sweep.js — ids only, screened on Wikidata claims.
# A person gets a card, an institution does not: the sweep requires P31 to be a
# performer type (human, band, duo, comedy troupe, YouTube channel), so
# businesses, universities, nonprofits, labels and TV series never reach here.
# 11339 channels, swept 2026-08-16.
#
# Next:  node tools/add-candidates.js catalog/reach-11.txt

UCyd8nl1opqfEVwJer32vURA  # Kylie Minogue
UCrhqEvF8dol6f09Y8ca2nCw  # Edward Tufte
UCy2JIPsxsCoDK3M1BcEVGGA  # Tom Jones
UCHvewxUNJi6vmIz3y0vPr4w  # Ryan Leslie
UCfwcuf6eoSd80RjwdZuvwHQ  # Frost*
UCc09et7SXVuLSTjqG2A02sA  # Ingrid Chavez
UCWRV5AVOlKJR1Flvgt310Cw  # Zoe Sugg
UCshoKvlZGZ20rVgazZp5vnQ  # CaptainSparklez
UC8ey1FYCmgHPa9f5KxWb0mw  # Jason Mraz
UCAHPhykku172s6dUnSs0fAQ  # Red
UCns2jPUYUABuoEZIIOvSYFQ  # Wallis Giunta
UCYl8KZt5DMZ_zSqFIkxlVvA  # Nicky Case
UC2Xp5JeeO9sP6bhc-9yD1xA  # Scott Cawthon
UC-GHvO97LsZDQv30KPROFMQ  # Ñengo Flow
UCRC6cNamj9tYAO6h_RXd5xA  # RTGame
UCuI9WIhxx-bDwHj5tF2FqIA  # Mizkif
UCXhSCMRRPyxSoyLSPFxK7VA  # Matthew Santoro
UCIEv3lZ_tNXHzL3ox-_uUGQ  # Gordon Ramsay
UCWcrr8Q9INGNp-PTCLTzc8Q  # Troye Sivan
UCJquYOG5EL82sKTfH9aMA9Q  # Rick Beato
UC9CoOnJkIBMdeijd9qYoT_g  # Q151892
UCMm99LU3M_U-PLcJ7VOqD6A  # Sophie and the Giants
UCrnY7o0rG_U0wBNHYuIoi7w  # Young Gun Silver Fox
UCQANb2YPwAtK-IQJrLaaUFw  # Brian Tyler Cohen
UCF5krC4iLSffU80YSVTESLg  # Jean-Paul Afif
UCVt8ODTrk7SZrX3WGp5W3CA  # Landon Cider
UCBNnILlexKYtJu-EGUvq_iA  # CboysTv
UCBCm781tbdx3SFdO0hIDcNw  # Bear Hands
UC8rpx6f-tQMadgnbiCe1Rlw  # Steve Grand
UC1US_L0AfwQLDV2MeDa-3MQ  # Qristina Bachand
UCgVCTlNEvc7at5cAkTsKWCA  # Glaive
UCxv912oIfPiKdPZ5_rPziSg  # Glaive
UC5t2Ns8OAS12ig8pAZk9_PA  # Bella McFadden
UCIY8ucMI3c54m9P35x6UZOw  # Griff
UCan_L4XHfSbCKaTCcntyLTQ  # Scarra
UCsGvXRNPih3bBlIbI-U7Idg  # Scarra
UCO01ytfzgXYy4glnPJm4PPQ  # Matt Walsh
UCTV_nk4Zpu68dopTYIad7KQ  # Fousheé
UCN1Xo8JpfDr9dRcv9AlvVDw  # Michael Norwood
UCAt1o1F6Gb10kxrvBqMhYbg  # Dominick Welch
UCcrD7VtUYpLZ_XvpMYf_YtQ  # Dominick Welch
UC3Z4xMcKKKhdRWLNIVHuOnw  # Salem Ilese
UCyZMNoERNvbHZ1ov2XYHhng  # Samia Finnerty
UCsyq6L8WjdoB8fUvaQmgpAw  # Dave Alvin
UCzjIHka_WxDgAP703lAhOGg  # Q1834613
UCIQ0HjwcyR5FkRcWsH_saJA  # Tim Pritlove
UC2yY1krHd_ESN5DD9QaSTUA  # Adam Grant
UCi9cDo6239RAzPpBZO9y5SA  # Lele Pons
UCsTjELjL9BjnbUVrH0wBGgQ  # Bury Tomorrow
UCveP-N0kyzbcOh6NA4j52dg  # Full Tac
UCbmS1_SRe_R8E6tvr5xCZyQ  # C+C Music Factory
UCAkIPJIx2moQGT_ih4pLxSg  # Butterscotch
UCOgekqHPPJDnme2SmbrINFg  # Cael Sanderson
UCnhpteoKi5Oh5RRFmXlySxA  # We the Kings
UCUOJBKFxQ0kPFhW4KYDI-Kg  # We the Kings
UC7fK9bfLXpVpM83RUFA_jjw  # Roy Ziv
