# Generated by tools/wikidata-sweep.js --sitelink en — ids only, screened on Wikidata claims.
# A person gets a card, an institution does not: the sweep requires P31 to be a
# performer type (human, band, duo, comedy troupe, YouTube channel), so
# businesses, universities, nonprofits, labels and TV series never reach here.
# 11343 channels, swept 2026-08-16 (run in two batches: shard 1 alone, then
# shards 2-9 together, since shard 1 alone already returned ~50k raw rows).
#
# Next:  node tools/add-candidates.js catalog/reach-10.txt

UC-YkQGu7T-yBxOx9vbHCgtw  # Philippa Hanna
UC-Yu69MdAxTVrcZoOkyTy8g  # King King
UC-ZHdmc9Zz0owHvwpyoNCaw  # Solid Gold
UC-Z_sxJOcuEGSq822j9VqNw  # Ty Segall
UC-ZhYaNTEMm5LeXxnC4zpZA  # Victoria Anthony
UC-ZsN5evqmSVo3_SJyQe9yA  # Eden
UC-_uofftjFu0KULKD4GSj4Q  # Tony Dize
UC-_zxXP5Qo4D4eoWe4gFC_w  # Beardyman
UC-b4YvOXYwYctlxD8EPBo4A  # The Bravery
UC-bApZr7tuETL3Vc8zLYpbA  # God Is an Astronaut
UC-bmmrUyEl1oNButYGsuXuw  # Michelle Branch
UC-c4fNI7uT2KTj51pjhVsuQ  # Katherine Mack
UC-cL104flI6BOmdA4PKodzw  # Friendly Fires
UC-cp9oNcCxZBOzMPGSxvhfw  # Old Man Markley
UC-dKVDuQPXs8m5j-m1YQKRA  # Meg Schwamb
UC-dowCJdnRoEPs-2u6-ypbQ  # Virgin Steele
UC-f5yQ7FJaylg9gbDHdcMEg  # Andy Biersack
UC-fWnUrk7297KzIZuNDO24w  # David Warner
UC-gCJG2UFyTHESi-zn5EEWw  # David Kaplan
UC-gO6d2N_MiG5wVuL14okbg  # Tim Kennedy
UC-gOEb5iYjhbRLfe-S3xiuA  # Robyn Lambird
UC-gQIDNkBBjXemKI3FzvGBw  # Luke Winslow-King
UC-gsojD53RpKVFvxNVdQiWA  # Shabazz Palaces
UC-h61oj2eqBUoE5J43sLnYQ  # Masiela Lusha
UC-h7O5eERbl6lLuOgYJ0GbQ  # Kiesza
UC-hSAIK2dnkD2WrscurWzWw  # Oksana Grigorieva
UC-hkrcdQnvcUUf2R8-0hroQ  # Kola Bokinni
UC-hp6SaSjmy2_30BxNNQ4gQ  # bülow
UC-iKaT5XGooxq41bfwbHcnw  # Georgia Barnes
UC-iR-hgVg0qhIf3sGflaj0w  # Remy Shand
UC-iSVYcy1rDg7xGqIwttyCw  # Zheani
UC-iTQfrv8pVLjlErZquyJ6Q  # Yaakov Shwekey
UC-iXIDJpohPsTGJ2hVmG7pw  # Pat Benatar
UC-id0vwQoAUYBNCm0nmaqQw  # Alex McLean
UC-j19XwvnE6iBeKllaUj9zw  # Cailee Spaeny
UC-jHioVmLr8Cb1lFBIZD2hQ  # HRVY
UC-jwlLr26YGjkTle_EH5kiQ  # Life of Agony
UC-kEEwHiPRVdlWZqzJ_1rHA  # Jake Sherman
UC-kLG-pqsDB3y0jaUyNG2NA  # The Cranberries
UC-kM5kL9CgjN9s9pim089gg  # Adam Conover
UC-kezFAw46x-9ctBUqVe86Q  # AmazHS
UC-kk_sflkcYhcebRg28I8TA  # Kingswood
UC-kxyQBIYy54AMGa31iYJaQ  # Ricky Montgomery
UC-lCjm6VLCotg5ZOfJ7xF9w  # Jeannie Mai Jenkins
UC-lNF95OSxTtfnUfTNJdEzg  # Bobby Seagull
UC-lkm1huv9jCUH28E7cKmew  # Foster the People
UC-mW1nd7UyqDsGq1HYGkcGg  # Liz Gorman
UC-mocDAfd-RIsysTLtHXG9Q  # Lirik
UC-mtkgsGizahMWOYaRjRb_w  # Chris de Burgh
UC-n5eIZ0AecwjWyXYeSwXkA  # Max Richter
UC-n7_QLUVl2eXGYeXSe3qXg  # Blimp Rock
UC-nPM1_kSZf91ZGkcgy_95Q  # Jessica McCabe
UC-nuau7PSSEFLVz83K4fvLQ  # Allstar Weekend
UC-oPgEuX6iwJucvVGEmQL7Q  # Ray Chen
UC-oSS6JngW-lTNI9tlqgpWg  # Symmetry
UC-oTPWs7aZ0CCjrDmqKCeXw  # Vivian Green
UC-olo-w2dFJzNPzVFunxiEQ  # John Borra
UC-omXuxKA9yEygiG85yI4JQ  # Steven He
UC-p0Y16gz2iR3EEip5h4zog  # Shelby J.
UC-p4AWl30IGQWL-_4dOFdbw  # Jean Pierre Targete
UC-pAn0DzUx3RkaNQ_7vtqbg  # Ipecac Loop
UC-pv0G0q7gIFT0DuluWHvoQ  # Marcus Feagin
UC-q5iYtiOPCzLLwWxMWl0gw  # Barry Manilow
UC-qFd0va4ihixQs5jSZMCew  # Akshay Nanavati
UC-qbFhbsSgjfM8XPdwQKTGA  # Don Tapscott
UC-rElz7xqZdiO4Jm5CdoM_g  # Nicholas Payton
UC-rOCntHHIDLvKq1rYkLkkg  # Ann Lee
UC-rX_f6vueiRY0E75gBNQ0g  # Tracy Chapman
UC-rabnisFAEyi5wRvBUv-jA  # Chris Quilala
UC-rr-YumyDDWDE9BjGYrnIQ  # Dijon
UC-sM_PLqzgktdUcW2LEKKkQ  # The Midnight
UC-sdfo_ho6Nq3OH8RUHBrNg  # The Smiths
UC-tDdcSNdKyqyiL-qhQ3Ygg  # From Indian Lakes
UC-tdPPVqdLB77oimoSOC4tg  # Miz Cracker
UC-tmj0CDIEtcmhg_-O5ViAA  # Sally Oldfield
UC-uPjbI8VMEPRCDBwE3EW5Q  # Robert H. Reid
UC-uW-wVHVt4YiTjBRPypKYQ  # Maryanne J. George
UC-ue_icWEAOq3vhT5XtSjOg  # Justin Cook
UC-uuwG2JO5azLtM3VpIOviA  # The Letter Black
UC-uyfKd9tyOimqk2WYML7nA  # Adrianne Curry
UC-vIANCum1yBw_4DeJImc0Q  # Tom Merritt
UC-vKwDHcbPLtjml81ohGRng  # 5 Seconds of Summer
UC-vPRA9fb8OzkNfKDNwwdAw  # Jonatha Brooke
UC-vT4VdNM-QX6jPwjD2w1yQ  # Chrissie Hynde
UC-vfCyibell_51GCZAd_60A  # Macy Gray
UC-w4qJp0-_XSIY3POV1kfCw  # XXYYXX
UC-w6fgmHzC03F_UtKnhGNVw  # The Frights
UC-w7D3GsJecTHA8Sjcyn6sQ  # Jaden Smith
UC-wNUynE4AsewpS3W2WDr_g  # Brie Larson
UC-xTVl97pv9ftbOu8UfVy_Q  # Natalie Merchant
UC-xoEk2ltUhOpXgjNqKs4gQ  # Graeme Park
UC-xvLZ6vkMaYNrNSfnRmJUQ  # Andy Summers
UC-y1QKnQS3r659fDMClZB1A  # Jonathan Coulton
UC-y8ci7xfsu4L3zkSuHae0A  # Q43432
UC-ycUe5HzrVaEyiDGYM1VwA  # Vicci Martinez
UC-z8pTI9FLeo2Gy_A3nNdkg  # Silk
UC-zD8J0RLWy3mNB7EMmT7Rg  # Q310116
UC-zarOGIlfLqxsRc21Aj-gw  # Stella Donnelly
UC0032Wkd3aCT4rRi1YOV3gQ  # Q127362
UC004-K15rmb6oVdTVNoMjLA  # Shanghai Restoration Project
UC0076UMUgEng8HORUw_MYHA  # Q151892
UC00X4AUEmat8Pk772tDu8OA  # Hayley Kiyoko
UC017aCIV24pBpY4UOEg9Mzw  # Renee Olstead
UC01YwA4a7Gc8HhO3RpkyTOA  # Dizzy Dee
UC02hzkbqEtyTdwRUpNsUnlA  # Franz Ferdinand
UC02iDva0dKpiqLUPQJR0ETA  # The Big Moon
UC03CsutNSthP8DmMBo2HPfQ  # Apollo 440
UC04-eiQs7M77hYa0xQ_D-Vw  # Kevin Devine
UC046v98DRj2d7N5ND557unQ  # Remy Ma
UC04MTQZN8WugPrlO7a9C-rQ  # Fuslie
UC04RzybqcStmGwZSzSGuf6w  # Marc Gopin
UC04_GpoOqu4SI_jv2ewFddg  # Phil Campbell and the Bastard Sons
UC04yIV3o-lz1VuOUNVKCutg  # Prism
