# Generated by tools/wikidata-sweep.js — ids only, screened on Wikidata claims.
# A person gets a card, an institution does not: the sweep requires P31 to be a
# performer type (human, band, duo, comedy troupe, YouTube channel), so
# businesses, universities, nonprofits, labels and TV series never reach here.
# 11339 channels, swept 2026-08-16.
#
# Next:  node tools/add-candidates.js catalog/reach-11.txt
# 189 of 11339 are new (not already in candidates.json)

UCLiqdP0UvZdL5yMD8niyP6A  # Andy Murray
UC3ToK5VMJ5fVZi9j9LCg-fw  # Asya Branch
UCKXmCTiLFaCc7zRYafxC9Wg  # Amouranth
UC1SYjjZDZRvjedNnaFBn1aA  # QTCinderella
UCI-uBkZBpePY6pTAyn75GUw  # Jreg
UCL1Y1BWyoDCA-YXoZbi8Vhg  # Jreg
UC7-g4aFzA_s4a4Rl0D0hjwQ  # Adin Ross
UCwHtJQjUxZpCMoMfAWx6P3A  # Adin Ross
UC-iR-hgVg0qhIf3sGflaj0w  # Remy Shand
UCgzCFHN4TEQLmAId5CHMFgQ  # Saleka
UCru70Xx0SECucd1UloeWbZg  # Emiru
UCm85sRFcnpeWcTfPUChXYyQ  # M. Remi Yergeau
UCXosomgerG2PtzN326Qn44A  # Emiru
UC88Qzl8DnaiR0Pxadh56iQw  # Makenna Kelly
UCUhfLKBbnSaO2RcrDNwkTaQ  # Mark Boals
UCSb5Oa-441qvbyLknCcuLKg  # Joshua Moon
UCqAIjfjlGRmS0n-rXF0Gjuw  # Sanu Sharma
UC1-uBB5MG-iBRsHDmk_5OlQ  # Denise Nolan
UCrzD7LwC_ru9Sc3CQfoANjQ  # Johnny Somali
UCzgHSIGYOAoeCsX0GDifpQw  # Emma Obanye
UCQ3FRaHOIwXLOQNeUwVpBUA  # Ruby Franke
UCv4VkfbX8YfqodF-4coEEfQ  # James Somerton
UCKQdUVBoMrGahzg-fuz8e1Q  # Rican Da Menace
UCaHvLMzqaL9cIgKkoofdCMg  # Michelle K. Johnston
UC9cVoKbNbxOW3vOsnoJ2kkg  # Dweezil Zappa
UCpD6v7qBt8XFSKpKjCAK2sw  # Nick Pickard
UCraQ_E1ffrxpDwUg-9KQgjA  # Q131411648
UCyoWB9nW5kc_It7j5wRZE6g  # Xasthur
UC-Lh6IK_HoWrQJ-tyB-RSBg  # Alpine
UCPO_jimQczp7CXIfyAHvDrA  # Jonathan McDowell
UCeYxxWbMLBNj9IHow_Ud-dg  # Zack Evans
UCRDBUzrDvtb5pIYJUW9cdig  # Push Baby
UC1612vnhy-ZdFmODtpYhuyw  # Glassjaw
UCKgoiAencEQ8JephT1EJIpA  # Museum of Devotion
UCp8v5KixDUzI8z8crVCXj-g  # Jonita Gandhi
UCenjnD3ZZLde9jQl_YLTZ5Q  # Shlohmo
UCTMM5_VfkJ_CdhL9iRMEnuQ  # Lil Bibby
UCnH9-BvgMRHMk4c5wctYp-g  # Jordan Banjo
